==6331== NVPROF is profiling process 6331, command: python fft-conv1-benchmark.py
Using gpu device 0: Tesla K40c (CNMeM is disabled)

CONFIG: input = 3 x 128 x 128 * ker = 3 x 96 x 11 x 11 ( bs = 128 , stride = 1 )
theano.sandbox.cuda.fftconv.conv2d_fft             ==> fprop         ==>     189
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop inputs  ==>     330
theano.sandbox.cuda.fftconv.conv2d_fft             ==> bprop weights ==>     258
theano.sandbox.cuda.fftconv.conv2d_fft             ==> TOTAL         ==>     778

==6331== Profiling application: python fft-conv1-benchmark.py
==6331== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
2.67191s  1.2800us                    -               -         -         -         -      112B  83.447MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.67387s  7.5850us                    -               -         -         -         -  39.063KB  4.9114GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.98340s  17.249us              (1 1 1)       (256 1 1)        12        0B  1.0000KB         -           -   Tesla K40c (0)         1         7  kernel_reduce_ccontig_node_4125d49ee4dc48affd03ce6cfd313b31_0(unsigned int, float const *, float*) [312]
2.98343s  2.2400us                    -               -         -         -         -        4B  1.7030MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
8.10196s  7.9470ms                    -               -         -         -         -  24.000MB  2.9492GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
18.3224s  221.96ms                    -               -         -         -         -  652.69MB  2.8716GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
18.5498s  19.553us                    -               -         -         -         -  136.13KB  6.6393GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
18.6962s  1.3120us                    -               -         -         -         -      112B  81.411MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
19.0056s  1.2480us                    -               -         -         -         -      112B  85.586MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
19.0244s  2.0480us              (1 1 1)         (1 1 1)         8        0B        0B         -           -   Tesla K40c (0)         1         7  get_gpu_ptr_size(int*) [510]
19.0244s  2.1120us                    -               -         -         -         -        8B  3.6124MB/s   Tesla K40c (0)         1         7  [CUDA memcpy DtoH]
19.0295s  1.0560us                    -               -         -         -         -        4B  3.6124MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
